FID,x,y,adr_pelny,ogolem
41311,20.07873426,50.1050121,LUBORZYCKA 33,2
21304,20.07857969,50.10538988,LUBORZYCKA 33A,5
22805,20.07776534,50.10369565,LUBORZYCKA 34,4
40497,20.07887524,50.10543397,LUBORZYCKA 35,2
35221,20.07768394,50.1040195,LUBORZYCKA 36,3
25484,20.07673496,50.10169344,LUBORZYCKA 3A,4
27759,20.07682937,50.10200849,LUBORZYCKA 3B,4
35229,20.07634797,50.10198007,LUBORZYCKA 3C,3
29440,20.07709639,50.10123785,LUBORZYCKA 4,3
36033,20.07840648,50.1062407,LUBORZYCKA 47,3
29075,20.07821184,50.10649923,LUBORZYCKA 49,4
20564,20.07769309,50.10093832,LUBORZYCKA 4A,5
36419,20.07679131,50.10235861,LUBORZYCKA 5,2
17487,20.07893487,50.10474762,LUBORZYCKA 50,5
26064,20.07836992,50.10677158,LUBORZYCKA 51,4
46284,20.07756134,50.10655452,LUBORZYCKA 51B,1
29463,20.07906009,50.10480224,LUBORZYCKA 52,3
34532,20.07916884,50.1054292,LUBORZYCKA 54,3
27249,20.07935161,50.10547389,LUBORZYCKA 54A,4
34533,20.07973696,50.1055429,LUBORZYCKA 54B,3
34534,20.07992164,50.10558247,LUBORZYCKA 54C,3
27250,20.08030572,50.10565379,LUBORZYCKA 54D,4
41076,20.08048938,50.10569507,LUBORZYCKA 54E,2
27251,20.08087649,50.10576352,LUBORZYCKA 54F,4
41086,20.08144717,50.10587649,LUBORZYCKA 54H,2
46303,20.08162993,50.10591465,LUBORZYCKA 54I,1
41913,20.08006695,50.10537977,LUBORZYCKA 54N,2
46806,20.07973485,50.10503342,LUBORZYCKA 54S,1
36245,20.0789572,50.10613582,LUBORZYCKA 56,2
47011,20.07918395,50.10584663,LUBORZYCKA 56A,1
28598,20.07968397,50.10632431,LUBORZYCKA 56R,4
35018,20.07880846,50.10640762,LUBORZYCKA 58,3
46914,20.07961411,50.10654772,LUBORZYCKA 58B,1
26638,20.07713071,50.10149772,LUBORZYCKA 6,4
9081,20.07889101,50.10671163,LUBORZYCKA 60,11
29453,20.07721058,50.10166954,LUBORZYCKA 8,3
36425,20.0770576,50.10268862,MIECZYS?AWA KAMBERSKIEGO 1,2
29461,20.07657613,50.10320571,MIECZYS?AWA KAMBERSKIEGO 4,3
28804,20.07613437,50.10344591,MIECZYS?AWA KAMBERSKIEGO 7,4
28840,20.07595378,50.10355749,MIECZYS?AWA KAMBERSKIEGO 9,4
42569,20.06057322,50.10239613,NIEBY?A 2,1
46514,20.06035616,50.10165455,NIEBY?A 4,1
21537,20.06158133,50.10087264,NIEBY?A 7A,5
6962,20.06139235,50.10066751,NIEBY?A 7D,19
29315,20.0677872,50.09886993,OBWODOWA 1,3
29471,20.06910876,50.09985296,OBWODOWA 11,3
29472,20.06952771,50.09983084,OBWODOWA 12,3
11254,20.06931753,50.1000083,OBWODOWA 13,8
43139,20.06905348,50.10016035,OBWODOWA 13A,1
12537,20.06979937,50.09999608,OBWODOWA 15,7
17569,20.06999592,50.09921968,OBWODOWA 16A,5
22792,20.07006432,50.0998952,OBWODOWA 17,4
30553,20.07035698,50.09970311,OBWODOWA 17A,3
45843,20.07007462,50.09883128,OBWODOWA 18,1
12244,20.06974027,50.09907881,OBWODOWA 18A,8
45290,20.07059165,50.09957843,OBWODOWA 19,1
20839,20.07083176,50.09947378,OBWODOWA 19A,5
46452,20.06769119,50.0990274,OBWODOWA 1A,1
10199,20.06973824,50.09870309,OBWODOWA 20,10
28434,20.06946807,50.09889813,OBWODOWA 20A,4
22182,20.07124281,50.09930331,OBWODOWA 21,4
42574,20.0696126,50.09848221,OBWODOWA 22,1
29426,20.06928626,50.09868526,OBWODOWA 22A,3
29427,20.06923132,50.09864347,OBWODOWA 22B,3
14503,20.07092689,50.09910493,OBWODOWA 23,6
11245,20.06912901,50.0980904,OBWODOWA 24,8
22137,20.07047337,50.09878824,OBWODOWA 27,4
17552,20.07013972,50.0984397,OBWODOWA 29B,5
26262,20.06968226,50.09820566,OBWODOWA 31,4
27244,20.06947521,50.09807385,OBWODOWA 33,4
21120,20.06930655,50.09795338,OBWODOWA 35,5
34944,20.0685546,50.09910074,OBWODOWA 4,3
29450,20.06878076,50.09926833,OBWODOWA 6,3
29452,20.06858621,50.09946806,OBWODOWA 7,3
37011,20.06864884,50.0995101,OBWODOWA 7A,2
29451,20.0689983,50.09943655,OBWODOWA 8,3
29470,20.06887091,50.09967316,OBWODOWA 9,3
55,20.06370725,50.09820693,OSIEDLE NA WZGoRZACH 17A,402
40534,20.07796484,50.10166433,P?ASKA 4,2
26797,20.07803682,50.10181086,P?ASKA 5,4
45375,20.08177179,50.09799231,POMYKANY 11,1
26050,20.08215942,50.09793718,POMYKANY 12,4
27014,20.0815733,50.09816768,POMYKANY 13,4
20692,20.0817477,50.09833904,POMYKANY 16,5
14045,20.08127868,50.0983796,POMYKANY 17,7
39545,20.0815609,50.09853386,POMYKANY 18,2
45776,20.08289562,50.0969381,POMYKANY 2,1
33257,20.08254757,50.09697882,POMYKANY 3,3
30428,20.08283005,50.09712168,POMYKANY 4,3
40925,20.08241653,50.09723112,POMYKANY 5,2
17995,20.08227768,50.09745315,POMYKANY 7,5
43988,20.08201363,50.09773274,POMYKANY 9,1
22080,20.07285217,50.10286032,PRZYMIARKI 10A,4
17486,20.07314856,50.10264132,PRZYMIARKI 10B,5
27159,20.07221446,50.10274752,PRZYMIARKI 11,4
22055,20.07309689,50.1030952,PRZYMIARKI 12,4
36330,20.07316851,50.10314879,PRZYMIARKI 12A,2
21375,20.07220702,50.10296512,PRZYMIARKI 13A,5
45808,20.07275251,50.10303294,PRZYMIARKI 15,1
35888,20.07254199,50.10310997,PRZYMIARKI 15B,3
28713,20.07232692,50.10324616,PRZYMIARKI 15D,4
42602,20.07293258,50.10318988,PRZYMIARKI 17,1
27209,20.07175256,50.10174687,PRZYMIARKI 2B,4
47558,20.0723758,50.10227738,PRZYMIARKI 4C,1
35605,20.07150895,50.10251609,PRZYMIARKI 5A,3
12552,20.07237709,50.10245753,PRZYMIARKI 6,7
21294,20.07205045,50.10246916,PRZYMIARKI 7,5
42539,20.07266909,50.10267592,PRZYMIARKI 8,1
11113,20.07214012,50.10269717,PRZYMIARKI 9,9
22133,20.07343717,50.09770525,STOKOWA 1,4
29442,20.07468808,50.09889604,STOKOWA 11,3
14521,20.07437049,50.0981086,STOKOWA 12A,6
9606,20.07440574,50.09815475,STOKOWA 12B,10
7431,20.07484403,50.09904262,STOKOWA 13,16
14514,20.07452659,50.09832756,STOKOWA 14A,6
22155,20.07449354,50.09827037,STOKOWA 14B,4
9605,20.07493493,50.0990991,STOKOWA 15,10
42594,20.07469487,50.09847763,STOKOWA 16A,1
29443,20.07477034,50.09865382,STOKOWA 18,3
31961,20.07492007,50.09880826,STOKOWA 20,3
46683,20.07512094,50.09876425,STOKOWA 20A,1
17529,20.0736019,50.098151,STOKOWA 3,5
17528,20.07384981,50.09763148,STOKOWA 4A,5
20091,20.07424836,50.09750969,STOKOWA 4B,5
45100,20.07476309,50.09739161,STOKOWA 4C,1
30583,20.07402732,50.09836648,STOKOWA 5,3
11243,20.07387874,50.09779201,STOKOWA 6,8
14513,20.07416053,50.09854527,STOKOWA 7,6
29445,20.0739806,50.09791338,STOKOWA 8,3
42581,20.07666916,50.09858776,STUDZIENNA 10,1
41727,20.07834571,50.09735711,STUDZIENNA 11A,2
